genus,FFG_fi,FFG_ga,FFG_sh,FFG_sc,FFG_pr,HTG_bu,HTG_cm,HTG_cn,HTG_sp,HTG_sw
Antarctoperla,0,0,0,0,0,0,0,0,0,0
Anthopotamus,1,1,0,0,0,1,0,1,1,0
Antiagrion,0,0,0,0,1,0,1,0,1,0
Antidythemis,0,0,0,0,1,0,1,0,1,0
Antillopsyche,1,0,0,0,1,0,0,1,0,0
Antipodochlora,0,0,0,0,1,0,1,0,1,0
Antipodoecia,0,0,0,0,0,0,0,0,0,0
Antipodogomphus,0,0,0,0,1,1,0,1,0,0
Antipodophlebia,0,0,0,0,1,0,1,1,0,0
Aoteapsyche,1,0,0,0,1,0,0,1,0,0
Apanisagrion,0,0,0,0,1,0,1,1,1,0
Apatania,1,1,0,1,0,0,1,1,0,0
Apataniana,0,1,0,1,0,0,1,1,0,0
Aphilorheithrus,0,0,0,0,1,0,0,0,0,0
Aphropsyche,1,0,0,0,1,0,0,1,0,0
Aphylla,0,0,0,0,1,1,0,0,0,0
Apobaetis,0,1,0,0,0,0,0,0,0,1
Apocordulia,0,0,0,0,1,0,0,0,0,0
Apsilochorema,0,0,0,0,1,0,0,1,0,0
Arabicnemis,0,0,0,0,1,0,0,1,0,0
Arabineura,0,0,0,0,1,0,0,1,0,0
Arachnocolus,0,1,1,0,0,0,0,1,1,0
Araucanioperla,0,0,0,0,1,0,0,1,0,0
Archaeogomphus,0,0,0,0,1,1,0,1,0,0
Archaeophlebia,0,0,0,0,1,0,1,0,1,0
Archaeophya,0,0,0,0,1,0,0,0,0,0
Archaeophylax,0,0,1,1,0,0,0,1,1,0
Archaeopodagrion,0,0,0,0,0,0,0,0,0,0
Archaeosynthemis,0,0,0,0,1,0,0,0,0,0
Archiargiolestes,0,0,0,0,1,0,0,1,1,0
Archibasis,0,0,0,0,1,0,0,0,1,0
Archilestes,0,0,0,0,1,0,1,1,0,0
Archineura,0,0,0,0,1,0,1,1,0,0
Archipetalia,0,0,0,0,1,0,0,0,0,0
Arctopora,0,0,1,1,0,0,0,1,1,0
Arctopsyche,1,0,0,0,1,0,0,1,0,0
Arcynopteryx,0,0,1,0,1,0,0,1,0,1
Argentagrion,0,0,0,0,0,0,0,0,0,0
Argia,0,0,0,0,1,0,0,0,1,0
Argiocnemis,0,0,0,0,1,0,0,0,1,0
Argiolestes,0,0,0,0,0,0,0,0,0,0
Argyrothemis,0,0,0,0,1,0,0,1,1,0
Arigomphus,0,0,0,0,1,1,0,0,0,0
Aristocypha,0,0,0,0,1,0,0,0,0,0
Armagomphus,0,0,0,0,1,1,0,1,0,0
Arsapnia,0,0,1,0,0,0,0,1,0,1
Arthroplea,1,0,0,0,0,0,0,1,0,1
Asiagomphus,0,0,0,0,1,1,0,1,0,0
Askola,0,1,1,0,0,0,0,1,0,1
Asmicridea,1,0,0,0,1,0,0,1,0,0
Asthenopodes,1,1,0,0,0,1,0,0,0,0
Asthenopus,1,1,0,0,0,1,0,0,1,0
Asynarchus,0,0,1,0,0,0,1,0,0,0
Atalomicria,0,1,1,0,0,0,0,1,0,1
Atalophlebia,0,1,1,0,0,0,0,1,0,1
Atalophlebioides,0,1,0,1,0,0,0,1,1,0
Atanatolica,0,0,1,0,1,0,0,0,1,1
Atherix,0,0,0,0,1,1,0,0,1,0
Athripsodes,0,0,1,0,1,0,0,0,1,1
Atoconeura,0,0,0,0,1,0,0,1,1,0
Atonurus,0,0,0,0,0,0,0,0,0,0
Atopophlebia,0,0,0,0,0,0,0,0,0,0
Atopsyche,0,0,0,0,1,0,0,1,0,0
Atratothemis,0,1,1,0,0,0,0,1,0,1
Atrichops,0,0,0,0,1,1,0,0,1,0
Atriplectides,0,0,0,0,0,0,0,0,0,0
Atrocalopteryx,0,0,0,0,1,0,1,1,0,0
Attaneuria,0,0,0,0,1,0,0,1,0,0
Attenella,0,1,0,1,0,0,0,1,0,0
Aturbina,0,1,0,1,0,0,0,1,0,1
Aubertoperla,0,0,0,0,1,0,0,1,0,0
Austrheithrus,0,0,0,0,1,0,0,0,0,0
Austroaeschna,0,0,0,0,1,0,1,1,0,0
Austroagrion,0,0,0,0,1,0,0,0,1,0
Austroargiolestes,0,0,0,0,1,0,0,0,0,0
Austrocerca,0,0,0,0,0,0,0,0,0,0
Austrocercella,0,0,0,0,0,0,0,0,0,0
Austrocercoides,0,0,0,0,0,0,0,0,0,0
Austrochorema,0,0,0,0,1,0,0,1,0,0
Austroclima,0,1,1,0,0,0,0,1,0,1
Austrocnemis,0,0,0,0,1,0,0,0,1,0
Austrocoenagrion,0,0,0,0,1,0,0,0,1,0
Austrocordulia,0,0,0,0,1,0,0,0,0,0
Austrocosmoecus,0,0,1,1,0,0,0,1,1,0
Austroepigomphus,0,0,0,0,1,1,0,1,0,0
Austrogomphus,0,0,0,0,1,1,0,1,0,0
Austrogynacantha,0,0,0,0,1,0,1,1,0,0
Austroheptura,0,0,0,0,0,0,0,0,0,0
Austrolestes,0,0,0,0,1,0,1,1,0,0
Austronella,0,1,1,0,0,0,0,0,1,1
Austronemoura,0,0,0,0,0,0,0,0,0,0
Austroneurorthus,0,0,0,0,0,0,0,0,0,0
Austropentura,0,0,0,0,0,0,0,0,0,0
Austroperla,0,0,0,0,0,0,0,0,0,0
Austropetalia,0,0,0,0,0,0,0,0,0,0
Austrophlebia,0,0,0,0,1,0,1,1,0,0
Austrophlebioides,0,0,0,0,1,0,0,0,0,0
Austrophya,0,0,0,0,1,0,0,0,0,0
Austropsyche,1,0,0,0,1,0,0,1,0,0
Austrosticta,0,0,0,0,1,0,0,1,0,0
Austrosynthemis,0,0,0,0,1,0,0,0,0,0
Austrothemis,0,0,0,0,1,0,0,1,1,0
Austrotinodes,1,0,0,0,0,0,0,1,0,0
Azuragrion,0,0,0,0,1,0,0,0,1,0
Bacillo,0,0,0,0,0,0,0,0,0,0
Badukiella,0,0,1,1,0,0,1,0,1,0
Baetiella,0,1,0,1,0,0,0,1,0,1
Baetis,0,1,0,1,0,0,0,1,0,1
Baetisca,0,1,0,1,0,0,0,0,1,1
Baetodes,0,1,0,1,0,0,0,1,0,1
Baetopus,0,1,0,1,0,0,0,1,0,1
Baliomorpha,1,0,0,0,1,0,0,1,0,0
Banksiola,0,0,1,0,1,0,1,0,0,0
Banyallarga,0,0,1,0,0,0,0,0,1,0
Barbaetis,0,1,0,0,0,0,0,1,0,1
Barbarochthon,0,0,0,0,0,0,0,0,0,0
Barynema,0,0,1,0,1,1,0,0,1,0
Barypenthus,1,1,0,0,0,1,0,0,0,0
Basiaeschna,0,0,0,0,1,0,1,1,1,0
Bayadera,0,0,0,0,1,0,0,0,0,0
Beloneuria,0,0,0,0,1,0,0,1,0,0
Beraea,1,1,0,1,0,0,1,0,1,0
Beraeamyia,0,1,0,0,0,0,0,0,1,0
Beraeodes,0,1,0,0,0,0,0,0,1,0
Beraeodina,0,1,0,0,0,0,0,0,1,0
Beraeoptera,0,0,0,0,0,0,0,0,0,0
Besdolus,0,0,1,0,1,0,0,1,0,1
Bessierus,0,1,1,0,0,0,0,1,0,1
Blepharopus,1,0,0,0,1,0,0,1,0,0
Bleptus,0,0,0,0,1,0,0,0,1,0
Borinquena,0,1,1,0,0,0,0,1,0,1
Boyeria,0,0,0,0,1,0,0,1,1,0
Brachycentrus,1,0,0,1,0,0,0,1,0,0
Brachycercus,1,1,0,0,0,1,0,0,1,0
Brachydiplax,0,0,0,0,1,0,0,1,1,0
Brachygonia,0,0,0,0,0,0,0,0,0,0
Brachymesia,0,0,0,0,1,0,1,0,1,0
Brachypsyche,0,0,1,1,0,0,0,1,1,0
Brachyptera,1,0,1,1,0,1,0,1,0,0
Brachysetodes,0,0,1,0,1,0,0,0,1,1
Brachythemis,0,0,0,0,1,0,0,1,1,0
Brachytron,0,0,0,0,1,0,1,1,0,0
Bradinopyga,0,0,0,0,1,0,0,1,1,0
Brasilocaenis,1,1,0,0,0,1,0,0,0,0
Brechmorhoga,0,0,0,0,1,0,0,0,1,0
Bromeliagrion,0,0,0,0,1,0,0,0,1,0
Bryoplathanon,0,0,0,0,1,0,1,1,0,0
Bugilliesia,0,1,0,1,0,0,0,1,0,1
Bungona,0,1,0,1,0,0,0,1,0,1
Burmagomphus,0,0,0,0,1,1,0,1,0,0
Burmargiolestes,0,0,0,0,1,0,0,0,0,0
Cabecar,0,1,0,0,0,0,0,1,0,0
Cacoides,0,0,0,0,1,1,0,1,0,0
Caconeura,0,0,0,0,1,0,0,0,0,0
Caenis,0,1,0,1,0,0,1,0,1,0
Caenoculis,1,1,0,0,0,1,0,0,0,0
Caenota,0,0,0,0,0,0,0,0,0,0
Cailloma,0,0,0,0,1,0,0,1,0,0
Calamoceras,0,0,1,0,0,0,0,0,1,0
Caledopteryx,0,0,0,0,1,0,0,0,0,0
Caliaeschna,0,0,0,0,1,0,1,1,0,0
Caliagrion,0,0,0,0,1,0,0,0,1,0
Calicnemia,0,0,0,0,1,0,0,1,0,0
Calineuria,0,0,0,0,1,0,0,1,0,0
Caliphaea,0,0,0,0,1,0,1,1,0,0
Callibaetis,0,1,0,1,0,0,1,0,0,1
Callibaetoides,0,1,0,0,0,0,0,1,0,1
Calliperla,0,0,1,0,1,0,0,1,0,1
Calocypha,0,0,0,0,0,0,0,0,0,0
Calophlebia,0,0,0,0,1,0,1,0,1,0
Calopteryx,0,0,0,0,1,0,1,0,0,0
Calvertagrion,0,0,0,0,1,0,0,0,1,0
Camacinia,0,0,0,0,1,0,0,1,1,0
Camelobaetidius,0,1,0,0,0,0,0,1,0,1
Campsiophora,0,1,0,1,0,0,0,1,0,0
Campsurus,1,1,0,0,0,1,0,0,1,0
Campylocia,0,0,0,0,0,0,0,0,0,0
Cannaphila,0,0,0,0,1,0,0,1,1,0
Capnia,0,0,1,0,0,0,0,1,0,1
Capnioneura,0,0,1,0,0,0,0,1,0,1
Capnopsis,0,0,1,0,0,0,0,0,0,0
Caradina,0,0,0,0,0,0,0,0,0,0
Careospina,0,1,1,0,0,0,0,1,0,1
Caribaetis,0,1,0,1,0,0,0,1,0,1
Cariboptila,0,1,0,1,0,0,0,1,0,0
Caroperla,0,0,0,0,1,0,0,1,0,1
Cascadoperla,0,0,1,0,1,0,0,1,0,1
Castanophlebia,0,1,1,0,0,0,0,1,0,1
Castoraeschna,0,0,0,0,1,0,1,1,0,0
Catagapetus,0,1,0,1,0,0,0,1,0,0
Caucasiron,0,0,0,1,0,0,0,1,0,0
Caudatella,0,1,0,1,0,0,0,1,0,0
Celebargiolestes,0,0,0,0,1,0,0,0,0,0
Celebothemis,0,0,0,0,1,0,0,1,1,0
Celithemis,0,0,0,0,1,0,1,0,1,0
Centromacronema,1,0,0,0,1,0,0,1,0,0
Centroptiloides,0,1,0,0,0,0,0,1,0,1
Centroptilum,0,1,0,1,0,0,0,1,0,1
Cephalaeschna,0,0,0,0,1,0,1,1,0,0
Ceraclea,0,1,0,1,0,0,0,0,0,1
Cerasma,0,1,1,0,0,1,0,0,1,0
Cerasmatrichia,0,0,0,1,0,0,0,1,0,0
Ceratogomphus,0,0,0,0,1,1,0,1,0,0
Ceratoperla,0,0,0,0,1,0,0,1,0,0
Ceratopsyche,1,0,0,0,0,0,0,1,0,0
Cercion,0,0,0,0,1,0,0,0,1,0
Cercobrachys,0,1,0,0,0,1,0,0,1,0
Cerconychia,0,0,0,0,0,0,0,0,0,0
Ceriagrion,0,0,0,0,1,0,0,0,1,0
Cernotina,0,0,0,0,1,0,0,1,0,0
Ceylonosticta,0,0,0,0,0,0,0,0,0,0
Chaetopteroides,0,0,1,1,0,0,1,0,1,0
Chaetopterygopsis,0,0,1,1,0,0,0,1,1,0
Chaetopteryx,0,0,1,1,0,0,0,1,1,0
Chalcolestes,0,0,0,0,1,0,1,1,0,1
Chalcopteryx,0,0,0,0,0,0,0,0,0,0
Chalcostephia,0,0,0,0,1,0,0,1,1,0
Chalybeothemis,0,0,0,0,1,0,1,0,1,0
Chaquihua,0,0,0,0,0,0,0,0,0,0
Charoterpes,0,0,0,0,0,0,0,0,0,0
Cheumatopsyche,0,1,0,0,1,1,0,1,0,0
Chilenoperla,0,1,1,0,0,0,0,1,0,1
Chiloporter,0,0,0,0,0,0,0,0,0,0
Chilostigma,0,0,1,1,0,0,0,1,1,0
Chimarra,1,0,0,0,0,0,0,1,0,0
Chionophylax,0,0,1,1,0,0,1,0,1,0
Chlorocnemis,0,0,0,0,1,0,0,1,0,0
Chlorocypha,0,0,0,0,1,0,0,0,0,0
Chlorogomphus,0,0,0,0,0,0,0,0,0,0
Chlorolestes,0,0,0,0,0,0,0,0,0,0
Chloroperla,0,0,0,0,1,0,0,1,0,1
Chorismagrion,0,0,0,0,0,0,0,0,0,0
Choristhemis,0,0,0,0,1,0,0,0,0,0
Choroterpes,0,1,1,0,0,0,0,1,1,0
Choroterpides,0,1,1,0,0,0,0,1,0,1
Chromagrion,0,0,0,0,1,0,0,0,1,0
Chyranda,0,0,1,0,0,0,0,0,1,0
Cincticostella,0,1,0,1,0,0,0,1,0,0
Cinygma,0,1,0,1,0,0,0,1,0,0
Cinygmina,0,1,0,1,0,0,0,1,0,0
Cinygmula,0,1,0,1,0,0,0,1,0,0
Claassenia,0,0,0,0,1,0,0,1,0,0
Clavichorema,0,0,0,0,1,0,0,1,0,0
Clioperla,0,0,0,0,1,0,0,1,0,1
Clistoronia,0,0,1,0,1,0,0,0,1,0
Cloeodes,0,1,0,0,0,0,0,1,0,1
Cloeon,0,1,0,0,0,0,0,1,0,1
Clostoeca,0,0,1,1,0,0,0,1,1,0
Clypeocaenis,1,1,0,0,0,1,0,0,0,0
Cochliopsyche,0,0,0,1,0,1,0,1,0,0
Coeliccia,0,0,0,0,1,0,0,0,0,0
Coenagrion,0,0,0,0,1,0,1,0,0,0
Coenoria,0,0,0,0,0,0,0,0,0,0
Coloburiscoides,0,0,0,0,0,0,0,0,0,0
Coloburiscus,0,0,0,0,0,0,0,0,0,0
Colpotaulius,0,0,1,1,0,0,0,1,1,0
Compsoneuria,0,0,0,1,0,0,0,1,0,0
Condocerus,0,0,0,0,0,0,0,0,0,0
Confluens,0,0,0,0,0,0,0,0,0,0
Conoesucus,0,0,0,0,0,0,0,0,0,0
Consorophylax,0,0,1,1,0,0,0,1,1,0
Contulma,0,0,0,0,0,0,0,0,0,0
Copera,0,0,0,0,1,0,0,1,0,0
Cora,0,1,0,0,1,0,1,0,0,0
Cordulegaster,0,0,0,0,1,1,0,0,0,0
Cordulephya,0,0,0,0,1,0,0,0,0,0
Cordulia,0,0,0,0,1,0,1,0,1,0
Corinnella,0,1,0,0,0,0,0,1,0,1
Coryphaeschna,0,0,0,0,1,0,1,0,0,0
Coryphorus,0,0,0,0,0,0,0,0,0,0
Cosmioperla,0,0,0,0,0,0,0,0,0,0
Costachorema,0,0,0,0,1,0,0,1,0,0
Costora,0,0,0,0,0,0,0,0,0,0
Crassabwa,0,1,0,1,0,0,0,1,0,1
Cratilla,0,0,0,0,1,0,0,1,1,0
Crenigomphus,0,0,0,0,1,1,0,1,0,0
Cristaperla,0,0,0,0,0,0,0,0,0,0
Crocothemis,0,0,0,0,1,0,1,0,0,0
Crunoecia,0,0,1,0,0,0,1,0,1,0
Cryptobiosella,1,0,0,0,0,0,0,1,0,0
Cryptochia,0,0,1,1,0,0,0,0,1,0
Cryptonympha,0,1,0,1,0,0,0,1,0,1
Cryptophaea,0,0,0,0,1,0,0,0,0,0
Cryptothrix,0,0,1,1,0,0,0,1,1,0
Cubanoptila,0,1,0,1,0,0,0,1,0,0
Culoptila,0,0,0,1,0,0,0,1,0,0
Cultus,0,0,1,0,1,0,0,1,0,1
Cyanallagma,0,0,0,0,1,0,0,0,1,0
Cyanogomphus,0,0,0,0,1,1,0,1,0,0
Cyanothemis,0,0,0,0,1,0,0,1,1,0
Cyclogomphus,0,0,0,0,1,1,0,0,0,0
Cyrnellus,1,0,0,0,1,0,0,1,0,0
Cyrnus,1,0,0,0,1,0,0,1,0,0
Dabulamanzia,0,0,0,0,0,0,0,0,0,0
Dacnogenia,0,0,0,1,0,0,0,1,0,0
Dactylophlebia,0,1,1,0,0,0,0,1,0,1
Dannella,0,1,0,1,0,0,0,1,0,0
Dasythemis,0,0,0,0,1,0,0,1,1,0
Daternomina,1,0,0,0,0,1,0,1,0,0
Davidioides,0,0,0,0,1,1,0,0,0,0
Davidius,0,0,0,0,1,1,0,1,0,0
Deielia,0,0,0,0,1,0,0,1,1,0
Deleatidium,0,1,1,0,0,0,0,1,0,1
Demoreptus,0,1,0,1,0,0,0,1,0,1
Demoulinellus,0,1,1,0,0,0,0,1,0,1
Dendroaeschna,0,0,0,0,1,0,1,1,0,0
Denticulobasis,0,0,0,0,1,0,0,0,1,0
Desmogomphus,0,0,0,0,1,1,0,1,0,0
Despaxia,0,0,1,0,0,0,0,1,0,1
Devadatta,0,0,0,0,0,0,0,0,0,0
Diamphipnoa,0,0,0,0,0,0,0,0,0,0
Diamphipnopsis,0,0,0,0,0,0,0,0,0,0
Diaphlebia,0,0,0,0,0,0,0,0,0,0
Diastatomma,0,0,0,0,1,1,0,1,0,0
Diastatops,0,0,0,0,1,0,0,1,1,0
Dibusa,0,0,0,1,0,0,0,1,0,0
Dicercomyzon,0,0,0,0,0,0,0,0,0,0
Dicosmoecus,0,0,1,1,1,0,0,0,1,0
Dicterias,0,0,0,0,0,0,0,0,0,0
Dictyogenus,0,0,1,0,1,0,0,1,0,1
Didymops,0,0,0,0,1,0,0,0,1,0
Dimeragrion,0,0,0,0,1,0,0,1,1,0
Dinarthrum,0,0,1,0,0,0,1,0,1,0
Dinocras,0,0,0,0,1,0,0,1,0,1
Dinotoperla,0,0,0,0,1,0,0,1,0,0
Diphetor,0,1,0,1,0,0,0,1,0,1
Diphlebia,0,0,0,0,0,0,0,0,0,0
Diplacina,0,0,0,0,1,0,0,1,1,0
Diplacodes,0,0,0,0,1,0,0,1,1,0
Diplectrona,1,0,0,0,0,0,0,1,0,0
Diploperla,0,0,1,0,1,0,0,1,0,1
Dipseudopsis,1,0,0,0,0,1,0,0,0,0
Disparoneura,0,0,0,0,1,0,0,1,0,0
Diura,0,0,0,1,1,0,0,0,0,0
Doddsia,1,0,1,1,0,1,0,1,0,0
Dolonagrion,0,0,0,0,0,0,0,0,0,0
Dolophilodes,1,0,0,0,0,0,0,1,0,0
Dorocordulia,0,0,0,0,1,0,1,0,1,0
Doroneuria,0,0,0,0,1,0,0,1,0,1
Drepanoneura,0,0,0,0,1,0,0,0,1,0
Drepanosticta,0,0,0,0,0,0,0,0,0,0
Dromaeschna,0,0,0,0,1,0,1,1,0,0
Dromogomphus,0,0,0,0,1,1,0,0,0,0
Drunella,0,0,0,0,1,0,0,1,1,0
Drusus,0,0,1,1,0,0,0,1,1,0
Dysphaea,0,0,0,0,1,0,0,0,0,0
Dythemis,0,0,0,0,1,0,0,0,1,0
Ecchlorolestes,0,0,0,0,0,0,0,0,0,0
Ecclisocosmoecus,0,0,1,1,0,1,0,0,0,0
Ecclisomyia,0,1,0,1,0,0,0,1,0,0
Ecclisopteryx,0,0,1,1,0,0,0,1,1,0
Eccoptura,0,0,0,0,1,0,0,1,0,1
Ecdyonurus,0,0,0,1,0,0,0,1,0,0
Echinopus,0,0,0,0,0,0,0,0,0,0
Echo,0,0,0,0,1,0,1,0,0,1
Ecnomina,1,0,0,0,0,1,0,1,0,0
Ecnomus,1,0,0,0,0,1,0,1,0,0
Ecuaphlebia,0,1,1,0,0,0,0,1,0,1
Edmundsius,0,1,0,0,1,0,0,0,1,1
Edpercivalia,0,0,0,0,1,0,0,1,0,0
Elasmothemis,0,0,0,0,1,0,0,0,0,0
Elassoneuria,1,0,0,0,0,1,0,0,0,0
Elattoneura,1,0,0,0,0,1,0,0,0,0
Electrogena,0,0,0,1,0,0,0,0,0,0
Eleuthemis,0,0,0,0,1,0,0,0,1,0
Elga,0,0,0,0,1,0,0,0,1,0
Enacantha,0,0,0,0,1,0,1,0,0,0
Enallagma,0,0,0,0,1,0,1,0,0,0
Enderleina,0,0,0,0,1,0,0,1,0,0
Enoicyla,0,0,1,0,0,0,0,0,0,0
Eoargiolestes,0,0,0,0,1,0,0,0,0,0
Eocosmoecus,0,0,1,0,0,0,0,0,1,0
Eoperla,0,0,0,0,1,0,0,1,0,0
Eosericostoma,0,0,0,0,0,0,0,0,0,0
Eothemis,0,0,0,0,1,0,0,0,1,0
Epallage,0,0,0,0,0,0,0,0,0,0
Epeorus,0,1,0,0,0,0,0,1,0,0
Ephacerella,0,1,0,0,0,0,0,1,0,0
Ephemera,0,1,0,0,0,1,0,0,0,0
Ephemerella,0,1,0,0,0,0,0,1,0,1
Ephemerellina,0,1,0,0,0,0,0,0,0,0
Ephemerythus,0,0,0,0,0,0,0,0,0,0
Ephoron,0,1,0,0,0,1,0,0,0,0
Epiaeschna,0,0,0,0,1,0,1,0,0,0
Epigomphus,0,0,0,0,1,1,0,0,0,0
Epiophlebia,0,0,0,0,0,0,0,0,0,0
Epipleoneura,0,0,0,0,1,0,1,1,0,0
Epipotoneura,0,0,0,0,1,0,1,1,0,0
Episynlestes,0,0,0,0,1,0,1,0,0,0
Epitheca,0,0,0,0,1,0,1,0,0,0
Epithemis,0,0,0,0,1,0,1,0,1,0
Epophthalmia,0,0,0,0,1,0,0,0,0,0
Eratopsyche,1,0,0,0,0,0,0,1,0,0
Ernodes,0,0,0,0,0,0,0,0,0,0
