HYBAS_ID,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,Elev,Elev_range,GDP,MEAN_GDP,GHM,HFP
1040000010,25.10540793,12.71357202,54.40508045,408.5220049,37.06806414,13.43368313,23.63438101,25.29882281,23.32057715,29.80254827,19.90401412,134.0288095,35.87465362,1.618251498,84.07682183,80.91263292,8.156684685,39.23479667,20.89537519,552.7859181,2885,20536247569,69711.28541,0.124650175,4.941649331
1040003990,26.18598465,10.45754713,55.61191981,312.9832666,35.69558627,16.77518156,18.92040471,26.76953107,25.98093521,29.96295244,22.44979353,156.9210869,29.73559495,2.039262656,64.25578713,68.491768,13.17770477,41.01533852,22.792949,558.6067955,2346,16482678619,124831.8953,0.178519124,5.606085172
1040006850,24.81739775,10.51605257,62.06252272,246.5447022,32.86318767,15.92695656,16.93623112,25.31325505,24.59367336,27.49337542,21.76924442,78.18770465,18.69415027,0.229357798,85.09349329,39.72435765,3.445440868,12.0781144,6.547508776,711.9417682,1941,1127459099,33259.3616,0.136821568,5.101102847
1040006860,25.78009688,9.257291143,64.95704564,189.8422428,32.84384454,18.59465069,14.24919384,25.52740189,27.44954197,27.75339926,23.28694635,78.44491939,18.19382022,0,92.69979216,38.65449438,1.198583293,16.73180264,8.77320469,350.0917196,771,86814040.62,10428.11299,0.107971204,4.425704863
1040007000,23.63416864,11.32879617,66.10113182,211.438921,31.56450518,14.48061765,17.08388753,24.97484619,21.86637308,25.67754293,20.83129185,130.3979953,33.45609368,0.308268725,98.49764604,67.65653486,4.726051838,32.32286632,7.83932916,931.5091316,1993,824635687.4,26750.4359,0.140149864,5.016729629
1040007010,26.10160296,8.744533466,65.35995986,175.4693741,32.76806423,19.3893958,13.37866843,26.79414313,27.51136448,27.84101933,23.72030415,97.56103576,23.25647349,0,100.2397269,45.6892725,0.700369914,27.95561036,10.51171393,195.1220715,338,12040247.75,14333.62827,0.101034182,2.902266289
1040007060,25.37576476,9.642627723,64.13966277,201.1509592,32.70067686,17.65822703,15.04244983,26.37924152,25.75497696,27.19196389,22.65112169,117.0165322,33.36956522,0.000520698,114.8762456,64.04412913,2.088388441,47.45248633,4.70463421,586.8530331,839,174125841.3,22666.73279,0.130682319,5.764862398
1040007070,25.42133728,9.173949947,65.76489729,187.7953389,32.25874206,18.31229288,13.94644918,26.3268265,26.82129841,27.13782424,22.83957486,132.0585007,39.87575458,0,117.0230811,70.95335309,0.980463176,55.03874437,9.18922182,364.8038635,722,154677510.6,16816.42864,0.124113072,4.728513597
1040007260,24.35773997,11.53029582,68.20279554,193.8904546,32.13136477,15.23663858,16.89472619,25.63459201,23.07629988,26.17018689,21.76918448,161.2317554,48.07048753,0.782481025,110.2093679,85.00411625,4.883224309,40.85836949,8.620020188,768.1396773,2319,3193068374,41858.19086,0.171496045,5.731355718
1040007270,26.36626734,9.69135364,72.45695337,120.2341909,33.26297898,19.90554552,13.35743346,27.20835915,26.71312226,27.72914737,24.8324659,241.6791028,60.53511046,0.675326871,109.3668864,118.3570784,6.529249324,96.3417775,23.42535505,177.4550834,730,29568360592,812094.4958,0.233829647,5.636475866
1040008100,26.7129485,8.29029862,80.53691595,65.79300548,32.26319902,21.9396873,10.32351172,26.6974444,27.13933652,27.44816595,25.86122479,435.8075767,95.35778713,0.722188815,85.94969839,244.1352977,10.86951293,82.90438966,158.5051112,12.89897775,62,558803771.6,336021.5103,0.282748432,17.0074354
1041144990,27.29934911,9.202673162,77.05204165,97.73119399,33.59902378,21.64016732,11.95885646,27.54646673,28.1018828,28.3675964,25.9490703,507.7754533,116.2217573,1.90097629,83.35448808,279.6052999,14.66248257,95.23152022,118.4686192,11.59832636,32,332720277.1,464045.0169,0.489548737,16.23694239
1041145090,25.782658,11.36212596,73.74963456,117.2437808,34.16520822,18.75914911,15.40605911,26.43409794,24.67857436,27.28317091,24.32679369,422.5643898,115.1183934,3.99151411,105.3668711,202.491092,18.52637431,125.9732334,27.78947779,539.9737875,4806,5699676161,21194.92691,0.185550336,6.86640286
1041139500,26.80635739,9.546274878,71.88547554,113.2596632,34.07943574,20.79759417,13.28184158,27.17642788,27.71570836,28.15166891,25.30986087,527.4332665,123.2812903,1.068988973,90.57282147,285.958041,15.51410569,144.5524488,98.47250465,94.16991265,497,2825902363,101170.7849,0.318268434,11.21509541
1041139430,24.51295218,12.26042399,73.20067971,102.2982868,33.609925,16.86228618,16.74763882,25.33492248,23.81709614,25.86452913,23.35628413,518.8684554,127.7861866,5.845340272,104.0152619,256.1802198,25.67783965,165.4376067,53.04080279,864.8420005,4279,15736599330,61757.92776,0.241842474,6.7136581
1041115400,27.74539233,11.92676263,78.38304738,91.68770516,35.978735,20.77756667,15.20116833,28.59459422,27.45868019,28.95142245,26.75541591,349.2467891,86.36370667,1.243750863,113.6260998,177.380279,9.341969341,130.6228974,29.2190029,245.140975,686,5190389771,143361.1316,0.311006003,9.552841024
1041115240,27.34266504,11.15777665,74.93744548,108.3754249,35.52021433,20.64278763,14.8774267,28.07037862,27.66330545,28.65461988,26.00761495,437.310446,113.837546,0.82858023,107.0115492,221.6551338,13.20193259,154.5882229,52.07344477,241.9152386,666,6813387012,110465.2639,0.334633487,9.343861447
1041014470,24.98220865,12.94563422,74.80889496,99.34728039,33.34314231,16.0180831,17.32505921,25.93133663,24.08028775,26.08737398,23.76699814,417.3914398,101.7609568,1.979625725,107.2623521,208.2265612,12.38698061,182.3859544,36.99526093,873.2009814,2686,2324148124,43363.39953,0.198177913,5.616882701
1041014460,23.85557325,13.30737641,76.1022906,85.58945618,32.4016879,14.91687199,17.48481591,24.42802232,23.07254354,24.81738776,22.84274879,591.5698107,118.3877417,5.054414205,88.21291429,267.9570287,29.85388942,206.91171,51.88740631,1095.434831,3881,11784596369,69331.75879,0.254124773,6.762870253
1040008110,27.4238441,8.282246894,69.19821017,118.9407915,33.87546464,21.92394376,11.95152088,27.61651266,27.92295788,28.85258618,25.87178756,516.052837,123.6484651,3.159631069,82.95803898,267.6636389,30.44901817,122.1425321,107.8720466,71.91433022,324,1383224305,23981.41967,0.169162159,7.421315308
1040008470,24.47972383,10.13048744,71.72842431,123.6745785,31.89210988,17.79313189,14.09897799,24.93287385,23.09373599,25.85378523,22.7885647,704.0524504,176.1596042,8.483102323,97.47096642,347.7256719,39.43222004,227.066338,45.95743588,584.2511941,4602,6478437628,58383.76421,0.287545338,6.29677406
1040008480,22.77785869,10.33323117,68.29976586,157.8610248,30.34701061,15.24231949,15.10469112,23.65650614,21.06645654,24.48807921,20.66777062,843.7496073,175.6503083,12.73459248,77.49827191,398.6358415,49.62315258,263.4840212,59.89019594,791.0550096,5779,1.92E+11,776515.8124,0.286391668,8.744504976
1040009450,22.17301264,9.935303142,64.54151044,160.8811624,29.25392962,13.94319444,15.31073518,23.20050299,20.04707984,23.82361303,19.90120122,980.8534081,210.3648906,2.583260088,101.8491224,559.3993068,11.15838058,344.1132171,12.40363491,940.9971466,3154,5762651257,24004.94565,0.178809231,6.321299308
1040009460,24.7623534,9.04175353,67.12928543,134.9388524,30.77178161,17.28704232,13.48473929,25.72625731,23.01278093,26.15652948,22.92135494,983.2011041,201.212732,4.876019134,93.6695254,543.8122838,17.83062066,379.600364,18.88805319,324.582689,981,1749168897,26180.85191,0.143213741,6.757300689
1040010030,23.76146563,10.28180141,60.89627418,192.5864391,31.88202766,14.96549377,16.91653389,24.78472012,21.31548016,25.81554536,21.10283031,1142.745818,261.2576512,2.316553915,110.5600571,730.5485173,9.391131908,294.5587622,10.66168652,607.9409352,1924,2780032816,15021.68293,0.121108349,5.119785628
1040010040,24.97594339,10.68137929,69.40095905,147.8299904,32.46823889,16.94422945,15.52400944,25.9898714,23.36054063,26.5173528,22.9195807,1029.179829,233.807832,2.813979103,107.1028035,639.9002768,13.58379722,372.727979,18.08254696,327.3868068,1028,1047293185,15498.69304,0.132512167,7.151517279
1040010590,23.89139675,12.43986365,64.25214013,210.3439818,33.4186884,13.9724173,19.44627112,25.29957784,21.27536715,26.0545097,20.92144584,1052.917332,259.0117904,3.296155253,114.2073206,694.1948529,12.93379772,304.5638916,14.45506783,535.3101682,2129,754461771,10224.58322,0.1443837,6.971908669
